Dates;DMEquitiesCAD;DMEquitiesFRF;DMEquitiesDEM;DMEquitiesJPY;DMEquitiesCHF;DMEquitiesGBP;DMEquitiesUSD;DMEquitiesEUR;DMEquitiesNDQ;DMFXEUR;DMFXGBP;DMFXJPY;DMFXCHF;BondsDEM;BondsFRF;BondsGBP;BondsUSD
04/05/2000;1.115684262;1.08663276;1.083632904;0.991497412;0.989724595;0.883163375;0.956542003;1.116449586;0.922006485;0.871081374;0.951113107;0.919253715;0.900696147;0.99838007;0.989172424;1.007437117;0.999633615
05/05/2000;1.140217426;1.098030162;1.100819246;0.991497412;0.989328624;0.889829384;0.967161646;1.125082102;0.949105248;0.871584524;0.940875672;0.914360081;0.899322036;1.003321012;0.986708624;1.004226906;0.995633756
08/05/2000;1.109798681;1.090492197;1.08568548;0.988021709;0.990651745;0.885285062;0.961116126;1.108872732;0.912246287;0.872477717;0.942277386;0.912105635;0.901476273;1.004018612;0.989704321;1.007424093;0.991179237
09/05/2000;1.104111267;1.065988788;1.06440462;0.970217599;0.999916806;0.872299135;0.954258139;1.084665284;0.886816926;0.880788082;0.943800987;0.906826337;0.90673942;1.005370894;0.994327441;1.010987504;0.994212828
10/05/2000;1.075456215;1.050048505;1.044655216;0.970217599;0.999916806;0.871667144;0.932750163;1.065933764;0.835443773;0.889389786;0.937070998;0.90654658;0.912279067;1.008155832;0.999147001;1.011267919;1.000276212
11/05/2000;1.079776271;1.07236088;1.066744345;0.932906994;1.016328649;0.889483293;0.951033862;1.093087188;0.869606469;0.881888453;0.924736044;0.913533146;0.906742511;1.00919755;0.998182182;1.002948185;1.002621645
12/05/2000;1.089189238;1.083939194;1.064915105;0.950640171;1.02043;0.896074064;0.961583135;1.105716143;0.877827375;0.88473049;0.93358803;0.911654123;0.910742337;1.004314351;0.988935942;1.003230898;0.996259268
15/05/2000;1.095074819;1.075054446;1.056066692;0.948937786;1.01937247;0.888700827;0.979732489;1.09245535;0.914302014;0.894108103;0.932832878;0.90554411;0.918328718;1.004091181;0.992232342;1.007252473;0.99922072
16/05/2000;1.131200794;1.102733852;1.08283527;0.957662509;1.027444792;0.901250378;0.989143029;1.124029039;0.942683854;0.882996666;0.921976992;0.902912521;0.908830751;1.005348265;0.99526355;1.010103355;1.002581779
17/05/2000;1.131280062;1.082773322;1.057385446;0.950072709;1.01976844;0.881387779;0.979060765;1.100874654;0.921494055;0.869154274;0.918017712;0.905182261;0.896938255;1.005063451;0.990601897;1.001445744;0.997852947
18/05/2000;1.139424755;1.082692917;1.049483557;0.934041917;1.027842372;0.888414926;0.969176819;1.10297818;0.888742544;0.871706935;0.912147774;0.910094672;0.895984272;1.003034637;0.991633958;0.997519173;0.991763934
19/05/2000;1.098899456;1.040982847;1.025426932;0.920919366;1.01725419;0.860035485;0.951033862;1.061513499;0.842507706;0.870747242;0.914096424;0.926360722;0.896263806;1.001103363;0.994662899;0.995949311;0.995858712
22/05/2000;1.098899456;1.023936996;1.014451496;0.882119174;1.015665479;0.860878141;0.943504151;1.042989991;0.847003483;0.881588846;0.919554093;0.924083058;0.907719605;1.004460269;0.993947407;1.001852575;1.001855654
23/05/2000;1.067608773;1.033766502;1.016131843;0.880416789;1.031018182;0.865708364;0.929257195;1.046567805;0.77379799;0.886187409;0.909986815;0.92803774;0.906108845;1.009712556;0.988571774;0.999767853;1.000157564
24/05/2000;1.086632874;1.014610021;1.00399718;0.87311072;1.036048293;0.871245816;0.942096728;1.033728237;0.813611434;0.884739166;0.906763825;0.922213417;0.903768552;1.010858836;0.998926384;1.003350419;0.998793588
25/05/2000;1.079974439;1.02351487;1.018322677;0.887368194;1.044254215;0.887497033;0.933556232;1.055829559;0.802822371;0.884166865;0.906495261;0.919267473;0.906263465;1.011181105;0.999952401;1.010141663;1.005536588
26/05/2000;1.072998935;1.030389494;1.017737745;0.88594954;1.033930013;0.884728307;0.928380755;1.060671049;0.803979343;0.902603473;0.913738736;0.924908771;0.922005789;1.015816164;1.003580482;1.01691452;1.009957885
29/05/2000;1.072503516;1.038791812;1.029149221;0.890276435;1.034593183;0.884728307;0.932686189;1.072036329;0.809373874;0.904269625;0.917472855;0.922634006;0.921539577;1.016915626;1.004566455;1.016510753;1.009524108
30/05/2000;1.114316905;1.059033759;1.04275153;0.889708974;1.02241629;0.903958914;0.959235298;1.086560798;0.880267425;0.908859934;0.922006917;0.930592119;0.922657953;1.020522232;1.003695323;1.014783062;1.005795715
31/05/2000;1.10274391;1.075999204;1.042900422;0.891766022;1.026915222;0.903673013;0.955870278;1.095401326;0.854067417;0.903801737;0.92026058;0.917856606;0.918603199;1.018288976;1.001122725;1.020261874;1.012199856
01/06/2000;1.129219117;1.107919971;1.064553512;0.900845409;1.026915222;0.920345558;0.975567798;1.120240612;0.902227871;0.907323784;0.918945532;0.909215917;0.921239391;1.021798044;1.007560641;1.023750201;1.019265579
02/06/2000;1.154346784;1.121025979;1.08897173;0.909357334;1.038828133;0.94305212;0.992034643;1.142552547;0.96361944;0.920001841;0.927911056;0.913468963;0.933981738;1.025382802;1.016086856;1.030825691;1.024014344
05/06/2000;1.139246404;1.119598791;1.084005133;0.934538446;1.031415762;0.931691316;0.988336959;1.134551868;0.963875656;0.920207743;0.929859092;0.920118225;0.933453868;1.029013599;1.016059657;1.028054489;1.026265807
06/06/2000;1.131081894;1.106834504;1.076837067;0.929856887;1.025460111;0.930427332;0.983302225;1.118766324;0.940758237;0.934149726;0.938394569;0.93725184;0.948565692;1.027156454;1.014289438;1.024744677;1.024900882
07/06/2000;1.125929533;1.089607743;1.067286735;0.934254715;1.030974722;0.92535635;0.989392526;1.109777586;0.960022419;0.932306282;0.935293736;0.935310824;0.948773689;1.024900569;1.012819166;1.024515595;1.025556767
08/06/2000;1.136511689;1.093306371;1.063957945;0.925459059;1.030842732;0.921353736;0.985886765;1.112494749;0.958224909;0.928711575;0.929239186;0.929381943;0.946267855;1.025996128;1.016245519;1.021012711;1.025878541
09/06/2000;1.145449054;1.099015123;1.058757375;0.926593983;1.033469657;0.914747917;0.982905588;1.116257174;0.964390088;0.926192876;0.926139038;0.922962863;0.945042697;1.023442944;1.009478945;1.024387646;1.025906067
12/06/2000;1.153712647;1.098351782;1.059257225;0.930424349;1.033469657;0.916011901;0.972644197;1.114166649;0.939601265;0.928933242;0.930918283;0.925879969;0.949933247;1.02320807;1.009246996;1.024819761;1.028499236
13/06/2000;1.166534099;1.099196034;1.063745243;0.920139106;1.034256769;0.916011901;0.989526871;1.117721062;0.96901197;0.935470548;0.931635235;0.923505595;0.955404864;1.021836279;1.010369721;1.025515434;1.026461339
14/06/2000;1.184111576;1.112965382;1.076401027;0.902618727;1.044366889;0.930984087;0.991842721;1.136951812;0.949235358;0.933731372;0.925642401;0.924951267;0.952814465;1.024232621;1.009794003;1.023021583;1.030822838
15/06/2000;1.204304866;1.097004999;1.075167354;0.880345856;1.040954462;0.922346866;0.991516455;1.127128424;0.964648305;0.927416284;0.927404985;0.925493402;0.947922155;1.024039883;1.010519317;1.020647252;1.031138916
16/06/2000;1.193425458;1.089446933;1.062149976;0.882970366;1.038195547;0.923746276;0.985221437;1.112494749;0.967176428;0.935314352;0.9326146;0.925465968;0.956542042;1.026738206;1.011544578;1.02897618;1.03690046
19/06/2000;1.213044063;1.095738621;1.056800514;0.903186188;1.027823056;0.917140457;0.996148155;1.111868111;1.006343328;0.934742568;0.930868911;0.930510822;0.956469921;1.027401472;1.016231164;1.026833996;1.035108402
20/06/2000;1.215957128;1.107759161;1.055641287;0.914038893;1.032944916;0.925506825;0.992508048;1.122528749;1.012660635;0.929888882;0.927892408;0.933264292;0.954579615;1.027118999;1.014253928;1.023000896;1.033066708
21/06/2000;1.205275888;1.093024954;1.043421543;0.926026521;1.027955046;0.917983113;0.992239359;1.109150949;1.014175908;0.920850109;0.922638893;0.933146274;0.9480463;1.022477697;1.008768742;1.014631362;1.026641684
22/06/2000;1.184488094;1.09101483;1.032212134;0.923969472;1.01495563;0.911377294;0.977474216;1.104761886;0.976019857;0.914248478;0.930186995;0.942054365;0.943316798;1.017914426;1.007284115;1.016070211;1.025272961
